기준_년분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,분기_매출금액,총_상주인구_수,남성_상주인구_수,여성_상주인구_수,연령대_10_상주인구_수,연령대_20_상주인구_수,연령대_30_상주인구_수,연령대_40_상주인구_수,연령대_50_상주인구_수,연령대_60_이상_상주인구_수,남성연령대_10_상주인구_수,남성연령대_20_상주인구_수,남성연령대_30_상주인구_수,남성연령대_40_상주인구_수,남성연령대_50_상주인구_수,남성연령대_60_이상_상주인구_수,여성연령대_10_상주인구_수,여성연령대_20_상주인구_수,여성연령대_30_상주인구_수,여성연령대_40_상주인구_수,여성연령대_50_상주인구_수,여성연령대_60_이상_상주인구_수,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균,월_평균_소득_금액,식료품_지출_총금액,여가_지출_총금액,문화_지출_총금액,유흥_지출_총금액,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수,집객시설_수,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수,총_점포_수,일반_점포_수,프랜차이즈_점포_수,평균 최저기온(℃),평균 최고기온(℃),총 강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),일반음식점_점포수,자치구,행정동
20221,골목상권,3110002,독립문역 1번,61342892,629,309,320,79,57,59,78,91,265,39,29,30,45,51,115,40,28,29,33,40,150,정체,111,58,97,50,3463885,54998987.0,10180461.0,6575012.0,9684061.0,492.0,128.0,364.0,0.0,138.0,141.0,126.0,63.0,24.0,0.0,28.0,28.0,40.0,19.0,13.0,0.0,110.0,113.0,86.0,44.0,11.0,18.0,529340.0,238020.0,291321.0,102299.0,61338.0,64294.0,79637.0,81099.0,140674.0,124769.0,110475.0,67267.0,69263.0,91107.0,66461.0,75867.0,76468.0,76228.0,76133.0,75645.0,75032.0,73968.0,4,2,2,-2.72,6.48,112.8,2.43,57.37,1011.91,22,종로구,무악동
20222,골목상권,3110002,독립문역 1번,89525560,629,309,320,79,57,59,78,91,265,39,29,30,45,51,115,40,28,29,33,40,150,정체,113,58,98,50,3463885,54998987.0,10180461.0,6575012.0,9684061.0,492.0,128.0,364.0,0.0,138.0,141.0,126.0,63.0,24.0,0.0,28.0,28.0,40.0,19.0,13.0,0.0,110.0,113.0,86.0,44.0,11.0,18.0,581730.0,268156.0,313573.0,115119.0,71338.0,69259.0,84191.0,86317.0,155507.0,127371.0,124419.0,76314.0,79292.0,103779.0,70554.0,83431.0,84020.0,83796.0,84757.0,83960.0,82214.0,79550.0,4,2,2,14.58,24.36,421.7,2.6,61.18,1001.83,22,종로구,무악동
20223,골목상권,3110002,독립문역 1번,89800497,629,309,320,79,57,59,78,91,265,39,29,30,45,51,115,40,28,29,33,40,150,정체,114,57,99,50,3463885,54998987.0,10180461.0,6575012.0,9684061.0,492.0,128.0,364.0,0.0,138.0,141.0,126.0,63.0,24.0,0.0,28.0,28.0,40.0,19.0,13.0,0.0,110.0,113.0,86.0,44.0,11.0,18.0,577170.0,262699.0,314472.0,112349.0,73767.0,69628.0,83122.0,86452.0,151854.0,121488.0,123406.0,77561.0,80267.0,105141.0,69305.0,83640.0,85092.0,84532.0,83306.0,83732.0,79776.0,77093.0,4,2,2,21.85,29.06,1018.6,2.25,75.24,998.44,21,종로구,무악동
20224,골목상권,3110002,독립문역 1번,75913905,663,326,337,52,60,53,79,111,308,30,31,23,44,58,140,22,29,30,35,53,168,정체,119,57,99,51,3463885,54998987.0,10180461.0,6575012.0,9684061.0,470.0,123.0,347.0,0.0,133.0,134.0,121.0,59.0,23.0,0.0,29.0,28.0,38.0,16.0,12.0,0.0,104.0,106.0,83.0,43.0,11.0,18.0,566740.0,256460.0,310280.0,109690.0,68140.0,68241.0,82317.0,83560.0,154791.0,118331.0,122331.0,77133.0,79095.0,102644.0,67207.0,80824.0,82750.0,83558.0,82827.0,82412.0,79151.0,75220.0,4,2,2,3.06,12.22,222.2,2.19,64.06,998.44,24,종로구,무악동
20221,골목상권,3110003,세검정초등학교,55734579,3212,1505,1707,603,399,372,551,533,754,285,203,179,256,234,348,318,196,193,295,299,406,정체,108,52,97,50,3474789,336704220.0,54707608.0,39088030.0,57182240.0,1776.0,996.0,780.0,0.0,245.0,491.0,552.0,367.0,121.0,0.0,110.0,259.0,324.0,222.0,81.0,0.0,135.0,232.0,228.0,145.0,40.0,18.0,729450.0,328103.0,401347.0,134297.0,80477.0,75480.0,119347.0,116581.0,203267.0,246155.0,153720.0,70906.0,67872.0,95111.0,95686.0,102542.0,102738.0,104501.0,104436.0,102552.0,105824.0,106857.0,7,7,0,-2.72,6.48,112.8,2.43,57.37,1011.91,64,종로구,부암동
20222,골목상권,3110003,세검정초등학교,54042100,3212,1505,1707,603,399,372,551,533,754,285,203,179,256,234,348,318,196,193,295,299,406,정체,113,52,98,50,3474789,336704220.0,54707608.0,39088030.0,57182240.0,1776.0,996.0,780.0,0.0,245.0,491.0,552.0,367.0,121.0,0.0,110.0,259.0,324.0,222.0,81.0,0.0,135.0,232.0,228.0,145.0,40.0,18.0,712418.0,321726.0,390693.0,139171.0,78123.0,73258.0,116587.0,111713.0,193564.0,249432.0,147561.0,65476.0,64261.0,91633.0,94052.0,102268.0,100857.0,100879.0,101278.0,100598.0,102894.0,103644.0,7,7,0,14.58,24.36,421.7,2.6,61.18,1001.83,61,종로구,부암동
20223,골목상권,3110003,세검정초등학교,34335770,3212,1505,1707,603,399,372,551,533,754,285,203,179,256,234,348,318,196,193,295,299,406,정체,115,53,99,50,3474789,336704220.0,54707608.0,39088030.0,57182240.0,1776.0,996.0,780.0,0.0,245.0,491.0,552.0,367.0,121.0,0.0,110.0,259.0,324.0,222.0,81.0,0.0,135.0,232.0,228.0,145.0,40.0,18.0,634516.0,287480.0,347034.0,123624.0,69296.0,65638.0,104056.0,97197.0,174705.0,213051.0,130836.0,60766.0,60574.0,85904.0,83384.0,90638.0,90190.0,90224.0,90871.0,88890.0,91732.0,91970.0,6,6,0,21.85,29.06,1018.6,2.25,75.24,998.44,60,종로구,부암동
20224,골목상권,3110003,세검정초등학교,32850726,2926,1417,1509,331,413,381,381,533,887,165,206,210,180,237,419,166,207,171,201,296,468,정체,114,53,99,51,3474789,336704220.0,54707608.0,39088030.0,57182240.0,1487.0,837.0,650.0,0.0,190.0,405.0,482.0,317.0,93.0,0.0,89.0,211.0,284.0,190.0,63.0,0.0,101.0,194.0,198.0,127.0,30.0,18.0,569772.0,258882.0,310890.0,118238.0,62777.0,55414.0,91267.0,87939.0,154136.0,192094.0,119105.0,54252.0,52977.0,75470.0,75873.0,81218.0,81496.0,81128.0,80773.0,81227.0,81810.0,82119.0,5,5,0,3.06,12.22,222.2,2.19,64.06,998.44,61,종로구,부암동
20221,골목상권,3110005,세검정,20108958,2153,1044,1109,356,294,250,346,374,533,205,153,119,152,173,242,151,141,131,194,201,291,정체,121,59,97,50,3768541,221446948.0,37478670.0,25606895.0,37192149.0,563.0,315.0,248.0,0.0,94.0,163.0,152.0,108.0,46.0,0.0,39.0,91.0,88.0,65.0,32.0,0.0,55.0,72.0,64.0,43.0,14.0,16.0,125167.0,55315.0,69852.0,20889.0,12796.0,15822.0,19627.0,22767.0,33265.0,32155.0,24489.0,14835.0,14889.0,21356.0,17444.0,18015.0,17969.0,18177.0,18047.0,18028.0,17675.0,17255.0,3,2,1,-2.72,6.48,112.8,2.43,57.37,1011.91,39,종로구,부암동
20222,골목상권,3110005,세검정,38910986,2153,1044,1109,356,294,250,346,374,533,205,153,119,152,173,242,151,141,131,194,201,291,정체,111,63,98,50,3768541,221446948.0,37478670.0,25606895.0,37192149.0,563.0,315.0,248.0,0.0,94.0,163.0,152.0,108.0,46.0,0.0,39.0,91.0,88.0,65.0,32.0,0.0,55.0,72.0,64.0,43.0,14.0,16.0,136605.0,60378.0,76227.0,24505.0,13980.0,16596.0,21193.0,24076.0,36255.0,34107.0,27560.0,16419.0,16413.0,23186.0,18920.0,19533.0,19654.0,19780.0,19496.0,19184.0,19482.0,19479.0,3,2,1,14.58,24.36,421.7,2.6,61.18,1001.83,36,종로구,부암동
